type,name,text
Humble,Merchant  ,They still haven't forgotten their roots. They constantly remind everyone that they're thankful for the townspeople's business.
Humble,Trades  ,"Even though the town can be at their mercy for repairs, they still haven't forgotten their roots. They constantly remind everyone that they're thankful for the townspeople for their business."
Humble,Politics  ,"Even though they are in town office, they still haven't forgotten their roots. They constantly remind everyone that they're thankful for the townspeople."
Humble,Rural  ,"They're a simple country person, they're already pretty humble."
Humble,Goat,Baa.
Humble,Cow,Moo.
Charitable,Educator  ,"They have spent so much of their time volunteering for every extracurricular activity: volleyball, basketball, chess, anime. Do they ever sleep?"
Charitable,Religious  ,Rumor has it they've been donating half their pay check to the colleciton plate each month to help those less fortunate.
Charitable,Law  ,They've been spending their weekend campaigning for the Guns for Toys charity.
Charitable,Medical  ,I heard one of the staff talking that about a time when they didn't charge a patient because they couldn't afford it.
Charitable,Merchant  ,I went to one of their sales the other day where they were practically giving everything away.
Charitable,Trades  ,"What a swell person! They didn't even charge me for parts, only labour!"
Charitable,Politics  ,What a swell person! They've been spending their weekend donating their time to help combat urban violence.
Charitable,Rural  ,"Last week, they were offering other farms their excess of hay at no cost!"
Charitable,Goat,Baa…
Charitable,Cow,Moo…
Temperant,Educator  ,They're so straight-laced that they won't even let the children eat wine gums in class!
Temperant,Religious  ,"They're so straight-laced that they won't even touch the communion waifers, saying they can lead to obesity!"
Temperant,Law  ,"They've been on a new diet, gave up the donuts, and began exercising more, saying a cop shouldn't have to wear size 46 pants."
Temperant,Medical  ,"I asked them for a prescription for some medical marijuana the other day and they wouldn't write one for him, saying it's a gateway drug"
Temperant,Merchant  ,"Even though they could be drowning in booze, they still stay away from it. What's their problem?"
Temperant,Trades  ,"Even though they could be drowning in booze, they still stay away from it. What's their problem?"
Temperant,Politics  ,"Ever since they got into office, they have sworn off all cocaine and methamphetamines, even though we all know they'd be in hell without them in that kind of job."
Temperant,Rural  ,"[He]'s been telling everyone about the new paleo diet [he] is on, saying that it's a good way to flush the system of chemicals. Who am I to tell him that everyone is made of chemicals?"
Temperant,Goat,bAA!
Temperant,Cow,mOO!
Diligent,Educator  ,They're such a hard worker! They stayed after school until every student got questions answered.
Diligent,Religious  ,They're always in the church praying in their spare time.
Diligent,Law  ,They've been on the beat for a triple shift since last night.
Diligent,Medical  ,They've been on the beat for a triple shift since last night.
Diligent,Merchant  ,"They're such a hard worker! Whenever I stop by their work, they're always busy and never seem to rest."
Diligent,Trades  ,They're such a hard worker! They stayed until the job was done and didn't leave early!
Diligent,Politics  ,"Even though they're in office, it seems like they never sleep. They're always doing some sort of paperwork."
Diligent,Rural  ,"I saw out at them out at the crops, tending to them. Do they ever rest?"
Diligent,Goat,Baaa.
Diligent,Cow,Mooo.
Chaste,Educator  ,Rumor has it that they were solicted by a parent at Parent Teacher Interviews and turned the parent down. What an idiot!
Chaste,Religious  ,"Rumor has it that during all the church controversy, they never took advantage of an altarboy. "
Chaste,Law  ,Can you believe this? They don't even use cheesy cop pick up lines when they're off duty.
Chaste,Medical  ,Apparently one of their patient confessed to suffering from nymphomania and they didn't even take them up on it!
Chaste,Merchant  ,"Despite having people throwing themselves at them, they turned them all down. Why? Because they're married."
Chaste,Trades  ,"Even though they could get anyone they wanted, because, you know, everyone loves a tradesperson, they still haven't done so."
Chaste,Politics  ,"Our last person in office was a bit of a slut, no them though! They say their work is more important."
Chaste,Rural  ,They're a simple person with simple values. They went to town one day to get their wedding ring polished.
Chaste,Goat,..Baa?
Chaste,Cow,..Moo?
Kind,Educator  ,Apparently there were found consoling a student who only received a participation ribbon at the track and field. 
Kind,Religious  ,"After the sermon last Sunday, they went down to the local soup kitchen and helped distribute food to the homeless."
Kind,Law  ,"They say in the back room at the station, they have a box full of teddy bears to give to distressed children at crime scenes to calm them down."
Kind,Medical  ,"When I got my surgery done the other day, they also took out my appendix and tonsils free of charge. What a kind person!"
Kind,Merchant  ,I saw them help a little old lady as she was shopping and they helped her carry her stuff to her vehicle.
Kind,Trades  ,Apparently the helped a little old lady down the stairs when she fell when they were out on a repair call.
Kind,Politics  ,"Even though the other candidate lost the election, they still helped to secure them a position on the office staff list."
Kind,Rural  ,I heard one of the other farmers say that they helped them out with harvest and didn't even ask for anything back.
Kind,Goat,...Baa.
Kind,Cow,...Moo.
