type,name,text
Lazy,Law  ,Typical. I go and spy on [him] and [he]?s passed out in [his] car with an empty box of Lardlinger donuts and his police radio turned off.
Lazy,Medical  ,Someone on the inside told me that [he] knocked out a patient [he] was supposed to work on for almost a whole day so [he] could go take a nap in his office.
Lazy,Merchant  ,
Lazy,Trades  ,
Lazy,Politics  ,"An awful lot of paperwork has been piling up around the offices, so much so that we can?t actually open most of the office doors anymore."
Lazy,Rural  ,
Lazy,Goat,Baa
Lazy,Cow,Moo
Lusty,Educator  ,My daughter told me that [he] gave another teacher detention and apparently they were doing homework the whole night long.
Lusty,Religious  ,One of the parishioners has been spending an awful lot of time in confessional with [him] after sermon. I didn?t see [him] leave till the next morning.
Lusty,Law  ,I heard one of the officers complain that there have been a lot of handcuffs and black lights going missing from the police station.
Lusty,Medical  ,"Rumor has it that one of [his] patients woke up from surgery smelling like cheap perfume, sweat, and shame."
Lusty,Merchant  ,
Lusty,Trades  ,"[He]?s been really busy with work, though [he] keeps complaining [he] still doesn?t make enough money. Maybe if he started accepting money only instead of other forms of payment?"
Lusty,Politics  ,"While going through [his] room, I found a bunch of lacy underwear in his bedroom, one pair for each voter."
Lusty,Rural  ,"While I was snooping around [his] barn, I found some riding crops and some pretty nervous horses."
Lusty,Goat,Baaaaaaaaaa?
Lusty,Cow,Mooooooooo?
Envious,Educator  ,
Envious,Religious  ,"When a guest pastor delivered a sermon at the church, boy, was [his] face green!"
Envious,Law  ,"A new hotshot detective came by town the other day and already beat [his] arrest record in a day in what took [him] a year. Needless to say, [he] wasn't impressed."
Envious,Medical  ,"Last week, [he] got his incision work critiqued by a superior and this person found [his] result a bit lacking."
Envious,Merchant  ,
Envious,Trades  ,
Envious,Politics  ,
Envious,Rural  ,
Envious,Goat,BaaaaaaaAAA!
Envious,Cow,MooooooOOO!
Forgiving,Educator  ,My son said that he handed in an assignment late and [he] didn't even take off marks.
Forgiving,Religious  ,[He] has been doing double-time at the confessional booth and staying there until everyone there has been forgiven for their sins.
Forgiving,Law  ,"[He] someone texting and driving the other day, but when [he] looked at his lengthy rap sheet, he decided to let him off with a warning."
Forgiving,Medical  ,
Forgiving,Merchant  ,
Forgiving,Trades  ,
Forgiving,Politics  ,
Forgiving,Rural  ,
Forgiving,Goat,BaAaAaAaA
Forgiving,Cow,MoOoOoOoO
Humble,Educator  ,"Last week, [he] was nominated for the Greatest Educator Award, but [he] turned it down and used [his] speech to thank all the other staff."
Humble,Religious  ,
Humble,Law  ,
Humble,Medical  ,
Humble,Merchant  ,
Humble,Trades  ,
Humble,Politics  ,"Even though [he] is in town office, [he] still hasn't forgotten his roots. [He] constantly reminds everyone that "
Humble,Rural  ,
Humble,Goat,Baa
Humble,Cow,Moo
Charitable,Educator  ,"[He] has spent so much of [his] time volunteering for every extracurricular activity: volleyball, basketball, chess, anime. Does [he] ever sleep?"
Charitable,Religious  ,
Charitable,Law  ,
Charitable,Medical  ,I heard one of the staff talking that about a time when [he] didn't charge a patient because they couldn't afford it.
Charitable,Merchant  ,
Charitable,Trades  ,
Charitable,Politics  ,
Charitable,Rural  ,
Charitable,Goat,Baa?
Charitable,Cow,Moo?
Temperant,Educator  ,[He]'s so straight-laced that he won't even let the children eat wine gums in class!
Temperant,Religious  ,
Temperant,Law  ,"[He]'s been on a new diet, gave up the donuts, and began exercising more, saying a cop shouldn't have to wear size 46 pants."
Temperant,Medical  ,"I asked [him] for a prescription for some medical marijuana the other day and [he] wouldn't write one for him, saying it's a gateway drug"
Temperant,Merchant  ,
Temperant,Trades  ,
Temperant,Politics  ,"Ever since [he] got into office, [he] has sworn off all cocaine and methamphetamines, even though we all know [he]'d be in hell without them in that kind of job."
Temperant,Rural  ,"[He]'s been telling everyone about the new paleo diet [he] is on, saying that it's a good way to flush the system of chemicals. Who am I to tell him that everyone is made of chemicals?"
Temperant,Goat,Baa
Temperant,Cow,Moo
Diligent,Educator  ,
Diligent,Religious  ,
Diligent,Law  ,
Diligent,Medical  ,
Diligent,Merchant  ,
Diligent,Trades  ,
Diligent,Politics  ,
Diligent,Rural  ,
Diligent,Goat,Baa
Diligent,Cow,Moo
Chaste,Educator  ,Rumor has it that [he]
Chaste,Religious  ,
Chaste,Law  ,
Chaste,Medical  ,
Chaste,Merchant  ,
Chaste,Trades  ,
Chaste,Politics  ,Our last person in office
Chaste,Rural  ,
Chaste,Goat,..Baa?
Chaste,Cow,..Moo?
Kind,Educator  ,
Kind,Religious  ,
Kind,Law  ,
Kind,Medical  ,
Kind,Merchant  ,
Kind,Trades  ,
Kind,Politics  ,
Kind,Rural  ,
Kind,Goat,...Baa
Kind,Cow,...Moo
